rango_edad,ocupacion,horas_diarias_pantalla,categoria_app_principal,app_mas_usada,intento_reducir_pantalla,frecuencia_completar_tareas,frecuencia_concentracion_sin_celular,origen
18-25,Otros,Más de 8 horas,Ocio/Streaming,Whatsapp,Si,A veces,Casi siempre,real
Menor de 17,Estudiante Secundario,Más de 8 horas,Social,TikTok,No,A veces,Algunas veces,real
18-25,Otros,Entre 2 a 4 horas,Otros,Instagram,No,Rara vez,Nunca puedo evitar las interrupciones,real
Menor de 17,Estudiante Secundario,Entre 4 a 6 horas,Social,Whatsapp,No,Rara vez,Algunas veces,real
18-25,Estudiante Universitario/Terciario,Entre 4 a 6 horas,Social,Instagram,Si,Frecuentemente,Casi siempre,real
Menor de 17,Estudiante Universitario/Terciario,Entre 6 a 8 horas,Juegos,Facebook,Si,Frecuentemente,Casi nunca,real
26-35,Otros,Menos de 2 horas,Social,TikTok,No,A veces,Algunas veces,real
Más de 35,Otros,Entre 4 a 6 horas,Otros,Otros,Si,Casi siempre,Casi nunca,real
18-25,Estudiante Universitario/Terciario,Más de 8 horas,Social,Instagram,No,Casi nunca,Algunas veces,real
Menor de 17,Estudiante Secundario,Entre 4 a 6 horas,Social,TikTok,Si,Rara vez,Algunas veces,real
26-35,Otros,Entre 2 a 4 horas,Social,Instagram,No,Frecuentemente,Casi siempre,real
Menor de 17,Estudiante Universitario/Terciario,Entre 2 a 4 horas,Social,Instagram,No,Rara vez,Casi siempre,real
Menor de 17,Estudiante Secundario,Entre 6 a 8 horas,Juegos,Youtube,No,Rara vez,Casi nunca,real
26-35,Estudiante Universitario/Terciario,Menos de 2 horas,Juegos,Youtube,No,Frecuentemente,Casi nunca,real
18-25,Estudiante Secundario,Entre 6 a 8 horas,Ocio/Streaming,TikTok,No,A veces,Casi nunca,real
Más de 35,Otros,Entre 4 a 6 horas,Social,Facebook,Si,A veces,Casi siempre,real
26-35,Otros,Entre 6 a 8 horas,Social,Instagram,No,Rara vez,Algunas veces,real
26-35,Estudiante Universitario/Terciario,Menos de 2 horas,Social,Youtube,No,Frecuentemente,Siempre puedo trabajar sin interrupciones,real
18-25,Estudiante Secundario,Entre 6 a 8 horas,Social,TikTok,Si,Rara vez,Algunas veces,real
Más de 35,Otros,Entre 4 a 6 horas,Social,Facebook,No,Frecuentemente,Algunas veces,real
18-25,Estudiante Universitario/Terciario,Entre 4 a 6 horas,Ocio/Streaming,Youtube,No,Casi siempre,Siempre puedo trabajar sin interrupciones,real
18-25,Estudiante Universitario/Terciario,Entre 4 a 6 horas,Ocio/Streaming,Facebook,No,Rara vez,Casi nunca,real
26-35,Estudiante Universitario/Terciario,Entre 2 a 4 horas,Otros,Instagram,Si,A veces,Algunas veces,real
Menor de 17,Estudiante Secundario,Entre 6 a 8 horas,Juegos,Instagram,Si,A veces,Casi nunca,real
26-35,Estudiante Secundario,Entre 4 a 6 horas,Otros,TikTok,Si,Rara vez,Casi siempre,real
Más de 35,Otros,Entre 6 a 8 horas,Otros,Whatsapp,Si,A veces,Nunca puedo evitar las interrupciones,real
18-25,Estudiante Universitario/Terciario,Entre 4 a 6 horas,Ocio/Streaming,TikTok,Si,A veces,Nunca puedo evitar las interrupciones,real
26-35,Estudiante Universitario/Terciario,Entre 6 a 8 horas,Juegos,Youtube,Si,A veces,Nunca puedo evitar las interrupciones,real
Más de 35,Otros,Entre 2 a 4 horas,Social,Whatsapp,No,Casi siempre,Siempre puedo trabajar sin interrupciones,real
Menor de 17,Estudiante Secundario,Entre 6 a 8 horas,Ocio/Streaming,TikTok,No,Casi siempre,Casi nunca,real
18-25,Estudiante Secundario,Entre 2 a 4 horas,Social,Youtube,Si,A veces,Algunas veces,real
26-35,Otros,Entre 4 a 6 horas,Ocio/Streaming,Facebook,Si,Rara vez,Casi siempre,real
Menor de 17,Estudiante Universitario/Terciario,Entre 4 a 6 horas,Ocio/Streaming,Youtube,Si,A veces,Casi siempre,real
18-25,Estudiante Secundario,Entre 2 a 4 horas,Ocio/Streaming,Instagram,Si,A veces,Casi siempre,real
18-25,Estudiante Universitario/Terciario,Entre 2 a 4 horas,Social,TikTok,Sí,Casi siempre,Nunca puedo evitar las interrupciones,sintetico
Más de 35,Estudiante Universitario/Terciario,Más de 8 horas,Social,Whatsapp,Sí,Casi nunca,Casi nunca,sintetico
26-35,Estudiante Universitario/Terciario,Entre 4 a 6 horas,Social,TikTok,No,A veces,Casi siempre,sintetico
18-25,Otros,Entre 6 a 8 horas,Social,TikTok,No,A veces,Casi nunca,sintetico
18-25,Estudiante Universitario/Terciario,Entre 4 a 6 horas,Social,Instagram,No,A veces,Siempre puedo trabajar sin interrupciones,sintetico
18-25,Estudiante Secundario,Más de 8 horas,Ocio/Streaming,TikTok,No,Rara vez,Casi nunca,sintetico
Menor de 17,Estudiante Secundario,Entre 4 a 6 horas,Social,Youtube,No,Rara vez,Casi siempre,sintetico
26-35,Otros,Menos de 2 horas,Ocio/Streaming,Youtube,No,Casi siempre,Algunas veces,sintetico
18-25,Estudiante Secundario,Más de 8 horas,Ocio/Streaming,Instagram,Sí,Casi nunca,Algunas veces,sintetico
26-35,Estudiante Universitario/Terciario,Entre 2 a 4 horas,Ocio/Streaming,Whatsapp,Sí,Casi siempre,Algunas veces,sintetico
Menor de 17,Estudiante Secundario,Entre 4 a 6 horas,Social,Otros,Sí,Casi siempre,Casi nunca,sintetico
Más de 35,Otros,Más de 8 horas,Juegos,Youtube,No,Rara vez,Casi siempre,sintetico
26-35,Otros,Más de 8 horas,Ocio/Streaming,Whatsapp,No,Rara vez,Algunas veces,sintetico
18-25,Estudiante Universitario/Terciario,Entre 4 a 6 horas,Social,Youtube,Sí,A veces,Algunas veces,sintetico
18-25,Estudiante Universitario/Terciario,Entre 6 a 8 horas,Juegos,Youtube,No,Casi siempre,Casi nunca,sintetico
18-25,Estudiante Universitario/Terciario,Entre 4 a 6 horas,Juegos,TikTok,No,Casi siempre,Casi nunca,sintetico
18-25,Estudiante Universitario/Terciario,Entre 2 a 4 horas,Social,TikTok,Sí,A veces,Casi nunca,sintetico
18-25,Estudiante Universitario/Terciario,Entre 4 a 6 horas,Social,Instagram,Sí,Frecuentemente,Algunas veces,sintetico
18-25,Estudiante Universitario/Terciario,Entre 6 a 8 horas,Juegos,Whatsapp,No,Frecuentemente,Algunas veces,sintetico
18-25,Otros,Entre 6 a 8 horas,Ocio/Streaming,Instagram,Sí,Casi siempre,Casi nunca,sintetico
18-25,Estudiante Universitario/Terciario,Entre 6 a 8 horas,Social,Facebook,No,Frecuentemente,Casi siempre,sintetico
Menor de 17,Estudiante Secundario,Entre 6 a 8 horas,Social,Whatsapp,Sí,Frecuentemente,Casi siempre,sintetico
18-25,Estudiante Universitario/Terciario,Entre 2 a 4 horas,Social,Instagram,No,Casi siempre,Casi siempre,sintetico
18-25,Estudiante Universitario/Terciario,Entre 4 a 6 horas,Ocio/Streaming,Instagram,No,Rara vez,Nunca puedo evitar las interrupciones,sintetico
18-25,Estudiante Universitario/Terciario,Menos de 2 horas,Ocio/Streaming,TikTok,No,Casi siempre,Casi siempre,sintetico
26-35,Otros,Entre 4 a 6 horas,Ocio/Streaming,Youtube,Sí,Frecuentemente,Algunas veces,sintetico
18-25,Otros,Entre 4 a 6 horas,Ocio/Streaming,Instagram,No,Rara vez,Casi nunca,sintetico
18-25,Estudiante Universitario/Terciario,Más de 8 horas,Ocio/Streaming,Instagram,No,A veces,Casi nunca,sintetico
18-25,Otros,Entre 4 a 6 horas,Social,TikTok,Sí,Rara vez,Algunas veces,sintetico
Menor de 17,Estudiante Secundario,Entre 2 a 4 horas,Social,Instagram,No,Rara vez,Casi siempre,sintetico
18-25,Estudiante Universitario/Terciario,Entre 2 a 4 horas,Ocio/Streaming,Instagram,Sí,A veces,Siempre puedo trabajar sin interrupciones,sintetico
18-25,Estudiante Universitario/Terciario,Entre 6 a 8 horas,Juegos,Instagram,Sí,Rara vez,Casi nunca,sintetico
Menor de 17,Estudiante Secundario,Entre 6 a 8 horas,Ocio/Streaming,Whatsapp,Sí,Casi nunca,Nunca puedo evitar las interrupciones,sintetico
Más de 35,Otros,Entre 2 a 4 horas,Ocio/Streaming,Whatsapp,Sí,Frecuentemente,Casi siempre,sintetico
Más de 35,Estudiante Universitario/Terciario,Entre 2 a 4 horas,Social,TikTok,Sí,Frecuentemente,Algunas veces,sintetico
26-35,Otros,Entre 6 a 8 horas,Ocio/Streaming,Instagram,No,A veces,Casi siempre,sintetico
18-25,Estudiante Universitario/Terciario,Menos de 2 horas,Ocio/Streaming,Youtube,Sí,Casi siempre,Casi nunca,sintetico
Menor de 17,Estudiante Secundario,Entre 6 a 8 horas,Social,Instagram,No,A veces,Nunca puedo evitar las interrupciones,sintetico
26-35,Otros,Entre 6 a 8 horas,Social,TikTok,Sí,Rara vez,Siempre puedo trabajar sin interrupciones,sintetico
18-25,Estudiante Universitario/Terciario,Entre 2 a 4 horas,Social,TikTok,Sí,A veces,Casi siempre,sintetico
Menor de 17,Otros,Entre 2 a 4 horas,Social,Whatsapp,Sí,Frecuentemente,Siempre puedo trabajar sin interrupciones,sintetico
18-25,Otros,Más de 8 horas,Social,TikTok,No,Rara vez,Nunca puedo evitar las interrupciones,sintetico
Menor de 17,Otros,Entre 4 a 6 horas,Social,Whatsapp,Sí,A veces,Algunas veces,sintetico
Más de 35,Otros,Entre 4 a 6 horas,Social,Otros,No,Rara vez,Algunas veces,sintetico
18-25,Estudiante Secundario,Entre 6 a 8 horas,Social,Whatsapp,No,Casi nunca,Nunca puedo evitar las interrupciones,sintetico
26-35,Otros,Más de 8 horas,Otros,Instagram,Sí,Rara vez,Nunca puedo evitar las interrupciones,sintetico
18-25,Estudiante Universitario/Terciario,Más de 8 horas,Ocio/Streaming,Whatsapp,Sí,Rara vez,Algunas veces,sintetico
18-25,Otros,Entre 6 a 8 horas,Ocio/Streaming,Otros,Sí,Frecuentemente,Casi nunca,sintetico
18-25,Otros,Entre 4 a 6 horas,Juegos,TikTok,No,Rara vez,Casi nunca,sintetico
18-25,Otros,Entre 2 a 4 horas,Ocio/Streaming,TikTok,Sí,Frecuentemente,Siempre puedo trabajar sin interrupciones,sintetico
Más de 35,Otros,Entre 6 a 8 horas,Social,Whatsapp,No,Casi nunca,Casi siempre,sintetico
26-35,Otros,Entre 4 a 6 horas,Ocio/Streaming,Facebook,Sí,Casi nunca,Algunas veces,sintetico
Más de 35,Otros,Entre 4 a 6 horas,Ocio/Streaming,Whatsapp,No,Frecuentemente,Casi siempre,sintetico
26-35,Otros,Más de 8 horas,Ocio/Streaming,Youtube,No,A veces,Algunas veces,sintetico
18-25,Estudiante Universitario/Terciario,Entre 2 a 4 horas,Social,Instagram,No,Frecuentemente,Siempre puedo trabajar sin interrupciones,sintetico
Más de 35,Otros,Entre 4 a 6 horas,Social,Whatsapp,Sí,Rara vez,Siempre puedo trabajar sin interrupciones,sintetico
Menor de 17,Otros,Menos de 2 horas,Social,Whatsapp,No,Frecuentemente,Siempre puedo trabajar sin interrupciones,sintetico
18-25,Estudiante Universitario/Terciario,Entre 4 a 6 horas,Social,Instagram,Sí,A veces,Casi siempre,sintetico
Menor de 17,Estudiante Secundario,Menos de 2 horas,Ocio/Streaming,TikTok,Sí,Frecuentemente,Siempre puedo trabajar sin interrupciones,sintetico
18-25,Estudiante Universitario/Terciario,Entre 2 a 4 horas,Ocio/Streaming,Whatsapp,No,Rara vez,Casi nunca,sintetico
18-25,Estudiante Universitario/Terciario,Entre 2 a 4 horas,Social,Facebook,No,A veces,Algunas veces,sintetico
18-25,Otros,Entre 6 a 8 horas,Otros,Instagram,No,Frecuentemente,Casi nunca,sintetico
26-35,Estudiante Universitario/Terciario,Entre 6 a 8 horas,Ocio/Streaming,TikTok,No,Casi siempre,Casi nunca,sintetico
18-25,Estudiante Universitario/Terciario,Entre 4 a 6 horas,Social,Instagram,Sí,Rara vez,Casi siempre,sintetico
18-25,Otros,Más de 8 horas,Social,Instagram,Sí,A veces,Casi nunca,sintetico
18-25,Estudiante Universitario/Terciario,Entre 4 a 6 horas,Social,TikTok,No,Frecuentemente,Casi siempre,sintetico
Menor de 17,Estudiante Secundario,Entre 2 a 4 horas,Social,Whatsapp,Sí,A veces,Siempre puedo trabajar sin interrupciones,sintetico
26-35,Otros,Más de 8 horas,Social,Whatsapp,Sí,Casi siempre,Algunas veces,sintetico
Menor de 17,Estudiante Secundario,Entre 2 a 4 horas,Social,Youtube,Sí,A veces,Siempre puedo trabajar sin interrupciones,sintetico
Más de 35,Otros,Más de 8 horas,Social,Otros,Sí,Casi nunca,Nunca puedo evitar las interrupciones,sintetico
26-35,Otros,Menos de 2 horas,Social,Instagram,Sí,A veces,Casi siempre,sintetico
18-25,Otros,Más de 8 horas,Juegos,Instagram,Sí,Frecuentemente,Algunas veces,sintetico
Menor de 17,Estudiante Universitario/Terciario,Menos de 2 horas,Social,TikTok,Sí,Casi siempre,Casi siempre,sintetico
26-35,Otros,Más de 8 horas,Ocio/Streaming,Instagram,Sí,Rara vez,Casi nunca,sintetico
26-35,Otros,Entre 4 a 6 horas,Ocio/Streaming,Whatsapp,No,Casi siempre,Nunca puedo evitar las interrupciones,sintetico
26-35,Otros,Más de 8 horas,Otros,Whatsapp,Sí,Frecuentemente,Casi nunca,sintetico
26-35,Otros,Menos de 2 horas,Social,Facebook,Sí,Frecuentemente,Siempre puedo trabajar sin interrupciones,sintetico
Menor de 17,Estudiante Secundario,Entre 4 a 6 horas,Social,TikTok,No,A veces,Casi siempre,sintetico
18-25,Estudiante Universitario/Terciario,Más de 8 horas,Otros,Whatsapp,Sí,Frecuentemente,Casi nunca,sintetico
Menor de 17,Estudiante Secundario,Entre 4 a 6 horas,Juegos,Instagram,No,A veces,Algunas veces,sintetico
26-35,Otros,Entre 6 a 8 horas,Juegos,Whatsapp,No,Frecuentemente,Casi nunca,sintetico
18-25,Estudiante Universitario/Terciario,Entre 6 a 8 horas,Social,TikTok,Sí,A veces,Algunas veces,sintetico
18-25,Estudiante Universitario/Terciario,Entre 4 a 6 horas,Social,Whatsapp,Sí,Frecuentemente,Casi nunca,sintetico
Menor de 17,Estudiante Secundario,Entre 6 a 8 horas,Ocio/Streaming,Whatsapp,No,A veces,Casi siempre,sintetico
18-25,Estudiante Universitario/Terciario,Entre 4 a 6 horas,Juegos,Facebook,No,Rara vez,Casi nunca,sintetico
18-25,Estudiante Secundario,Más de 8 horas,Ocio/Streaming,Whatsapp,Sí,Casi siempre,Nunca puedo evitar las interrupciones,sintetico
26-35,Otros,Menos de 2 horas,Ocio/Streaming,TikTok,Sí,Casi siempre,Casi siempre,sintetico
18-25,Estudiante Universitario/Terciario,Entre 2 a 4 horas,Social,Instagram,Sí,A veces,Siempre puedo trabajar sin interrupciones,sintetico
26-35,Otros,Más de 8 horas,Juegos,Whatsapp,No,Rara vez,Casi nunca,sintetico
18-25,Estudiante Universitario/Terciario,Más de 8 horas,Social,Instagram,Sí,Rara vez,Casi nunca,sintetico
Menor de 17,Estudiante Secundario,Entre 4 a 6 horas,Social,TikTok,No,Rara vez,Algunas veces,sintetico
26-35,Estudiante Universitario/Terciario,Entre 6 a 8 horas,Ocio/Streaming,Youtube,No,Casi siempre,Casi nunca,sintetico
26-35,Otros,Entre 2 a 4 horas,Ocio/Streaming,Youtube,Sí,Casi siempre,Casi siempre,sintetico
18-25,Estudiante Universitario/Terciario,Entre 2 a 4 horas,Social,Instagram,Sí,Casi siempre,Algunas veces,sintetico
26-35,Estudiante Universitario/Terciario,Entre 4 a 6 horas,Social,TikTok,Sí,Casi siempre,Algunas veces,sintetico
18-25,Estudiante Universitario/Terciario,Entre 4 a 6 horas,Ocio/Streaming,Instagram,Sí,A veces,Nunca puedo evitar las interrupciones,sintetico
18-25,Estudiante Universitario/Terciario,Entre 4 a 6 horas,Social,Instagram,Sí,Rara vez,Algunas veces,sintetico
18-25,Estudiante Universitario/Terciario,Menos de 2 horas,Ocio/Streaming,Youtube,Sí,Frecuentemente,Siempre puedo trabajar sin interrupciones,sintetico
Menor de 17,Estudiante Secundario,Más de 8 horas,Social,Whatsapp,No,Rara vez,Nunca puedo evitar las interrupciones,sintetico
Menor de 17,Estudiante Secundario,Más de 8 horas,Ocio/Streaming,Whatsapp,Sí,A veces,Algunas veces,sintetico
Menor de 17,Estudiante Secundario,Entre 6 a 8 horas,Ocio/Streaming,Instagram,Sí,Rara vez,Nunca puedo evitar las interrupciones,sintetico
18-25,Estudiante Universitario/Terciario,Entre 4 a 6 horas,Social,Whatsapp,No,Casi nunca,Casi siempre,sintetico
18-25,Estudiante Universitario/Terciario,Entre 4 a 6 horas,Social,Whatsapp,No,Frecuentemente,Algunas veces,sintetico
18-25,Estudiante Universitario/Terciario,Entre 6 a 8 horas,Social,TikTok,No,Frecuentemente,Casi siempre,sintetico
Más de 35,Otros,Entre 6 a 8 horas,Social,Instagram,No,A veces,Casi siempre,sintetico
18-25,Otros,Entre 2 a 4 horas,Otros,Youtube,Sí,A veces,Algunas veces,sintetico
18-25,Estudiante Universitario/Terciario,Más de 8 horas,Social,Youtube,Sí,Casi nunca,Nunca puedo evitar las interrupciones,sintetico
26-35,Otros,Entre 6 a 8 horas,Juegos,Instagram,No,A veces,Casi siempre,sintetico
18-25,Estudiante Universitario/Terciario,Más de 8 horas,Social,Instagram,No,Casi nunca,Nunca puedo evitar las interrupciones,sintetico
Menor de 17,Estudiante Secundario,Entre 6 a 8 horas,Ocio/Streaming,Instagram,Sí,A veces,Casi siempre,sintetico
18-25,Estudiante Universitario/Terciario,Entre 6 a 8 horas,Juegos,TikTok,No,Rara vez,Algunas veces,sintetico
18-25,Estudiante Universitario/Terciario,Entre 4 a 6 horas,Ocio/Streaming,Instagram,Sí,Casi nunca,Casi nunca,sintetico
Más de 35,Estudiante Universitario/Terciario,Más de 8 horas,Ocio/Streaming,Facebook,Sí,Casi siempre,Casi siempre,sintetico
26-35,Otros,Más de 8 horas,Ocio/Streaming,Instagram,Sí,Casi nunca,Casi siempre,sintetico
18-25,Otros,Menos de 2 horas,Social,TikTok,Sí,Frecuentemente,Siempre puedo trabajar sin interrupciones,sintetico
26-35,Otros,Menos de 2 horas,Otros,Instagram,Sí,Frecuentemente,Casi siempre,sintetico
26-35,Otros,Entre 4 a 6 horas,Juegos,Whatsapp,Sí,A veces,Casi siempre,sintetico
18-25,Estudiante Universitario/Terciario,Entre 6 a 8 horas,Otros,Youtube,No,Casi nunca,Nunca puedo evitar las interrupciones,sintetico
26-35,Estudiante Universitario/Terciario,Más de 8 horas,Social,Facebook,Sí,Rara vez,Algunas veces,sintetico
18-25,Estudiante Universitario/Terciario,Entre 2 a 4 horas,Ocio/Streaming,Whatsapp,Sí,A veces,Siempre puedo trabajar sin interrupciones,sintetico
26-35,Otros,Entre 4 a 6 horas,Otros,Youtube,No,Casi siempre,Casi nunca,sintetico
26-35,Otros,Entre 4 a 6 horas,Social,Instagram,No,Frecuentemente,Algunas veces,sintetico
18-25,Estudiante Universitario/Terciario,Más de 8 horas,Social,Youtube,No,Frecuentemente,Nunca puedo evitar las interrupciones,sintetico
Menor de 17,Estudiante Secundario,Entre 6 a 8 horas,Ocio/Streaming,Facebook,No,A veces,Casi siempre,sintetico
18-25,Otros,Entre 6 a 8 horas,Ocio/Streaming,Instagram,No,Casi siempre,Algunas veces,sintetico
18-25,Estudiante Universitario/Terciario,Entre 4 a 6 horas,Juegos,Whatsapp,Sí,A veces,Casi siempre,sintetico
26-35,Otros,Entre 4 a 6 horas,Social,Whatsapp,Sí,Casi siempre,Algunas veces,sintetico
26-35,Otros,Entre 2 a 4 horas,Juegos,TikTok,Sí,Casi nunca,Siempre puedo trabajar sin interrupciones,sintetico
